'Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
0.14,0.08,2.39,3.44,0.37,0.25,7.97,2.12,0.54,0.16,5.95,7.55,1.28,0.65,14.08,5.83,1.07,0.34,9.9,8.98,1.73,1,19.76,7.54,1.13,0.61,4.22,11.5,1.78,1.12,10.55,7.14,0.65,0.49,3.2,7.22,1.59,1.32,7.59,5.39,0
0.14,0.08,2.46,3.5,0.37,0.26,8.06,2.1,0.52,0.15,5.73,7.23,1.25,0.64,14.08,5.73,1.02,0.35,9.8,8.73,1.73,1,19.77,7.57,1.09,0.61,4.36,11.4,1.79,1.11,11.21,7.35,0.66,0.5,3.18,7.25,1.58,1.32,7.64,5.48,0
0.13,0.08,2.4,3.46,0.36,0.25,8,2.06,0.49,0.15,5.38,7.16,1.2,0.63,14.06,5.6,0.98,0.36,9.57,8.47,1.71,1,19.76,7.63,1.06,0.61,4.52,11.3,1.79,1.11,11.69,7.57,0.65,0.5,3.17,7.31,1.57,1.32,7.75,5.54,0
0.12,0.08,2.33,3.43,0.34,0.24,7.79,1.99,0.47,0.15,5.05,7.15,1.17,0.62,13.95,5.43,0.94,0.36,9.32,8.26,1.67,0.99,19.86,7.73,1.04,0.61,4.6,11.21,1.82,1.12,12.08,7.63,0.65,0.5,3.17,7.46,1.55,1.31,7.93,5.5,0
0.12,0.07,2.26,3.34,0.32,0.23,7.58,1.94,0.45,0.14,4.71,6.94,1.14,0.61,13.82,5.28,0.9,0.36,9.05,8.21,1.63,1,19.92,7.81,1.01,0.62,4.74,10.97,1.85,1.15,12.44,7.7,0.65,0.49,3.11,7.45,1.52,1.3,8.1,5.48,0
0.12,0.07,2.21,3.22,0.31,0.22,7.39,1.85,0.43,0.14,4.41,6.8,1.12,0.61,13.71,5.2,0.88,0.36,8.77,8.2,1.61,1.01,20.03,7.95,0.99,0.62,4.83,10.72,1.88,1.17,12.7,7.66,0.64,0.48,3,7.4,1.47,1.28,8.12,5.45,0
0.11,0.07,2.12,3.03,0.3,0.21,7.13,1.76,0.41,0.15,4.15,6.61,1.09,0.6,13.43,5.15,0.84,0.35,8.71,8.3,1.58,1.02,20,8.04,0.96,0.63,4.87,10.44,1.92,1.18,13,7.61,0.64,0.48,2.92,7.38,1.43,1.32,8.15,5.41,0
0.11,0.07,2.03,2.84,0.29,0.2,6.91,1.69,0.39,0.15,3.9,6.42,1.05,0.59,13.22,5.15,0.81,0.35,8.8,8.39,1.58,1.02,20.03,8.14,0.93,0.64,4.95,10.33,1.97,1.2,13.38,7.47,0.62,0.47,2.8,7.27,1.49,1.35,8.18,5.36,0
0.11,0.06,1.97,2.67,0.27,0.19,6.66,1.63,0.37,0.15,3.66,6.27,1.02,0.57,13.05,5.14,0.78,0.35,8.87,8.46,1.59,1.02,20.09,8.32,0.91,0.66,5.01,10.46,2.02,1.21,13.71,7.19,0.61,0.46,2.7,7.14,1.53,1.38,8.08,5.3,0
0.11,0.06,1.9,2.51,0.27,0.18,6.44,1.63,0.34,0.16,3.44,6.09,1,0.56,12.94,5.08,0.76,0.35,8.93,8.54,1.63,1.01,20.18,8.51,0.88,0.69,5.08,10.56,2.07,1.22,13.94,6.91,0.61,0.47,2.72,7,1.56,1.41,7.92,5.3,0
0.11,0.06,1.82,2.43,0.25,0.17,6.11,1.56,0.33,0.16,3.21,5.89,0.97,0.55,12.66,4.95,0.73,0.36,8.98,8.66,1.67,1.01,20.31,8.69,0.86,0.71,5.1,10.57,2.13,1.23,13.91,6.68,0.6,0.47,2.74,6.88,1.59,1.43,7.85,5.32,0
0.11,0.06,1.76,2.27,0.25,0.17,5.88,1.51,0.33,0.16,3,5.78,0.94,0.54,12.53,4.89,0.7,0.36,8.99,8.67,1.69,1,20.32,8.8,0.84,0.74,5.07,10.63,2.2,1.24,13.87,6.5,0.6,0.47,2.75,6.8,1.61,1.45,7.73,5.34,0
0.11,0.06,1.71,2.25,0.23,0.17,5.64,1.48,0.32,0.16,2.83,5.67,0.93,0.53,12.38,4.82,0.66,0.36,8.98,8.61,1.71,0.98,20.36,8.88,0.81,0.75,5.04,10.74,2.25,1.25,13.87,6.32,0.57,0.46,2.77,6.68,1.64,1.47,7.7,5.32,0
0.11,0.06,1.66,2.19,0.22,0.17,5.45,1.56,0.31,0.16,2.67,5.51,0.91,0.53,12.29,4.86,0.62,0.36,8.97,8.56,1.72,0.96,20.39,9,0.77,0.78,4.98,10.85,2.29,1.26,13.9,6.2,0.56,0.45,2.78,6.47,1.66,1.45,7.58,5.23,0
0.11,0.07,1.56,2.24,0.22,0.17,5.21,1.62,0.31,0.16,2.59,5.38,0.91,0.52,12.24,4.91,0.58,0.36,8.9,8.38,1.73,0.93,20.09,8.91,0.73,0.78,4.92,10.83,2.3,1.25,14.16,6.54,0.54,0.44,2.79,6.23,1.66,1.43,8,5.12,0
0.1,0.07,1.56,2.13,0.22,0.17,5.06,1.58,0.3,0.15,2.55,5.11,0.92,0.51,11.96,4.84,0.56,0.35,8.77,8.14,1.72,0.91,19.76,8.7,0.69,0.78,4.9,10.71,2.3,1.23,14.43,6.86,0.52,0.44,2.79,5.93,1.66,1.4,8.36,4.98,0
0.22,0.07,1.61,2.21,0.22,0.19,4.81,1.65,0.59,0.14,2.65,4.94,0.95,0.49,11.71,4.78,1.01,0.34,8.56,7.98,1.69,0.86,19.57,8.51,1.27,0.79,5.13,10.36,2.21,1.28,14.78,7.17,1.16,0.45,4,5.88,1.97,1.47,9.69,4.96,0
0.3,0.08,1.6,2.18,0.2,0.2,4.54,1.67,0.82,0.16,2.74,4.67,0.99,0.46,11.27,4.69,1.48,0.34,8.29,7.72,1.67,0.8,19.11,8.33,1.96,0.83,5.04,10.2,2.15,1.34,15.36,7.6,1.63,0.46,6.31,5.81,2.45,1.49,11.64,4.8,0
