'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:42:36.301 11/09/2023]',0.20,0.18,0.72,0.90,0.14,0.18,1.31,8.73,0.31,0.22,2.24,2.01,0.25,0.37,3.04,19.95,0.40,0.26,3.07,3.46,0.65,0.35,4.71,24.63,0.70,0.63,8.65,5.41,1.86,1.39,9.77,53.52,2.67,1.52,62.97,10.24,12.38,15.85,43.04,45.31,0
'[11:42:36.410 11/09/2023]',0.20,0.18,0.73,0.83,0.15,0.19,1.42,8.96,0.31,0.23,2.27,1.86,0.26,0.36,3.09,20.43,0.41,0.26,3.04,3.20,0.66,0.36,4.48,25.15,0.71,0.64,8.85,5.01,1.86,1.41,10.20,54.78,2.72,1.57,63.90,9.53,12.61,16.10,43.69,46.31,0
'[11:42:36.538 11/09/2023]',0.20,0.18,0.70,0.77,0.15,0.19,1.57,9.20,0.31,0.23,2.23,1.72,0.26,0.37,3.18,20.88,0.42,0.26,3.05,2.97,0.66,0.34,4.26,25.72,0.72,0.64,9.07,4.63,1.84,1.41,10.62,55.83,2.77,1.60,64.76,8.86,12.81,16.33,44.29,47.23,0
'[11:42:36.626 11/09/2023]',0.21,0.19,0.69,0.71,0.15,0.19,1.74,9.45,0.32,0.24,2.18,1.59,0.27,0.38,3.25,21.30,0.42,0.25,3.05,2.74,0.67,0.34,4.05,26.25,0.72,0.65,9.24,4.29,1.82,1.41,10.96,56.81,2.81,1.63,65.56,8.23,12.99,16.55,44.87,48.09,0
'[11:42:36.728 11/09/2023]',0.22,0.19,0.68,0.66,0.14,0.20,1.94,9.67,0.33,0.25,2.14,1.48,0.28,0.38,3.43,21.68,0.42,0.25,3.06,2.54,0.68,0.34,4.01,26.75,0.73,0.65,9.42,3.97,1.80,1.47,11.49,57.75,2.85,1.65,66.36,7.65,13.17,16.76,45.45,48.90,0
'[11:42:36.837 11/09/2023]',0.22,0.19,0.66,0.61,0.14,0.20,2.10,9.83,0.34,0.26,2.11,1.37,0.28,0.38,3.65,22.03,0.42,0.26,3.08,2.35,0.69,0.33,4.03,27.20,0.74,0.65,9.54,3.67,1.80,1.50,11.93,58.66,2.88,1.67,67.16,7.10,13.33,16.97,46.03,49.65,0
'[11:42:36.936 11/09/2023]',0.22,0.20,0.64,0.56,0.13,0.20,2.21,9.98,0.35,0.27,2.07,1.26,0.29,0.39,3.87,22.36,0.41,0.26,3.11,2.17,0.69,0.32,4.02,27.59,0.73,0.64,9.62,3.39,1.83,1.53,12.30,59.49,2.92,1.69,67.84,6.59,13.48,17.15,46.52,50.31,0
'[11:42:37.049 11/09/2023]',0.22,0.20,0.64,0.52,0.13,0.21,2.36,10.09,0.35,0.27,2.01,1.17,0.31,0.40,4.04,22.66,0.40,0.26,3.17,2.01,0.68,0.32,4.00,27.95,0.74,0.65,9.77,3.14,1.84,1.57,12.68,60.20,2.95,1.71,68.50,6.11,13.60,17.32,46.98,50.91,0
