'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:42:00.000 11/09/2023]',4.549632,2.989625,93.71478,0.01574618,17.20672,28.32256,26.97111,-23.3827
'[17:42:00.004 11/09/2023]',2.377007,2.596598,40.06437,0.07137308,14.17323,8.784706,64.7988,66.95815
'[17:42:00.012 11/09/2023]',0.3920384,0.7932679,-71.14748,0.0252094,-8.251508,-14.19595,-27.2188,14.08096
'[17:42:00.020 11/09/2023]',-7.498972,-1.51421,-75.95008,-0.02297156,-12.49422,-20.38178,13.55391,-35.57265
'[17:42:00.028 11/09/2023]',-2.057239,-4.880377,-25.82657,-0.02600382,4.146582,6.742401,-217.5638,-52.15726
'[17:42:00.036 11/09/2023]',0.1400584,1.550654,40.21001,0.00216096,3.102443,16.06236,83.85471,12.62512
'[17:42:00.044 11/09/2023]',0.5526243,-1.13373,-23.80411,0.01952751,-7.771132,-15.60832,-21.28202,-0.09424698
'[17:42:00.052 11/09/2023]',0.8591933,2.958669,1.575985,0.007184351,-12.91555,-4.449274,-1.207528,25.32165
'[17:42:00.060 11/09/2023]',-7.487331,-1.880459,-287.2378,-0.009434117,-34.26569,-67.44045,-171.1191,-124.4947
'[17:42:00.068 11/09/2023]',-5.438121,-1.883514,-231.8756,-0.01692715,-13.14495,-39.77956,-163.9469,-80.79472
'[17:42:00.076 11/09/2023]',1.347406,-4.475798,-168.4521,0.002944462,-7.720476,-20.29796,-33.80128,-88.34618
'[17:42:00.084 11/09/2023]',2.482747,0.2581837,85.81636,0.007576464,10.72227,21.32572,45.39817,13.34832
'[17:42:00.092 11/09/2023]',0.05078176,-1.140781,151.0693,0.00668494,14.4836,24.30227,23.899,72.7905
'[17:42:00.100 11/09/2023]',3.671342,0.8415918,108.6674,-0.001231332,8.949462,23.58109,50.80909,59.88895
'[17:42:00.108 11/09/2023]',1.285969,0.9773403,-23.60105,-0.007834468,-10.59818,-5.441528,23.66338,-50.50336
'[17:42:00.116 11/09/2023]',-0.954089,2.422954,-81.59501,-0.006620659,-22.72286,-26.51713,-81.37894,-49.48887
'[17:42:00.124 11/09/2023]',-2.822961,0.6849245,-165.2893,0.001454585,-20.40302,-41.86744,-86.07003,-109.2371
'[17:42:00.132 11/09/2023]',-5.590379,-2.280229,-138.9032,-0.0008665355,-20.27609,-35.88282,-109.3453,-35.32167
'[17:42:00.140 11/09/2023]',0.2010025,-1.606272,-21.04945,0.0001368631,8.547081,4.371382,-24.29983,-61.06432
'[17:42:00.148 11/09/2023]',-0.01306939,-3.617887,-17.06816,-1.778798E-05,-0.2627582,-4.442141,-12.02808,21.79209
