Promedio,Desviacion Estandar,Mediana,Rango Intercuartil,Min,Max
801.299,441.305,514.362,784.182,435.662,1513.464
16.538,13.215,12.635,5.026,4.291,49.829
9.853,7.799,7.417,2.784,2.952,29.587
6.985,5.506,5.273,1.935,2.306,20.974
5.549,4.336,4.236,1.205,1.708,16.542
4.597,3.576,3.725,0.987,1.142,13.593
3.917,3.08,3.145,0.824,0.946,11.669
3.436,2.699,2.744,0.904,0.735,10.192
3.121,2.388,2.442,1.015,0.741,9.061
2.882,2.189,2.207,1.094,0.671,8.279
2.668,2.017,2.002,1.117,0.522,7.56
2.475,1.861,1.823,1.093,0.51,6.966
2.328,1.731,1.692,1.107,0.433,6.437
2.265,1.67,1.584,1.242,0.407,6.101
2.344,1.683,1.627,1.598,0.475,5.947
2.206,1.609,1.492,1.599,0.374,5.534
2.097,1.516,1.426,1.514,0.4,5.26
2.334,1.669,1.527,2.083,0.713,5.47
2.414,1.745,1.58,2.349,0.767,5.513
2.632,1.992,1.671,2.912,0.825,5.944
2.661,2.048,1.678,3.052,0.839,5.986
2.928,2.269,1.869,3.466,0.897,6.543
3.224,2.479,2.06,3.52,0.87,7.323
3.529,2.783,2.237,3.953,0.846,8.192
4.188,3.469,2.667,5.07,0.828,10.147
7.04,6.143,4.507,8.904,0.827,17.79
47.036,43.754,30.873,65.875,2.147,124.157
6.473,5.685,4.185,8.403,0.752,16.476
3.775,3.109,2.41,4.425,0.721,9.249
3.198,2.532,2.059,3.507,0.706,7.638
3.196,2.459,2.173,3.355,0.682,7.522
2.811,2.246,1.82,3.286,0.663,6.7
2.329,1.864,1.531,2.866,0.642,5.529
2.302,1.838,1.487,2.783,0.631,5.425
2.107,1.646,1.346,2.457,0.616,4.928
1.938,1.491,1.238,2.24,0.6,4.421
1.632,1.251,1.062,1.858,0.421,3.663
1.676,1.297,1.066,1.934,0.493,3.774
1.744,1.381,1.13,2.082,0.412,3.999
1.425,1.057,0.921,1.506,0.422,3.152
1.359,1.001,0.888,1.383,0.373,3.072
1.389,1.02,0.905,1.447,0.427,3.105
1.414,1.056,0.945,1.517,0.37,3.148
1.342,0.963,0.903,1.358,0.438,2.956
1.299,0.94,0.859,1.308,0.398,2.9
1.269,0.937,0.844,1.258,0.319,2.879
1.26,0.871,0.815,1.191,0.527,2.79
1.278,0.92,0.823,1.308,0.46,2.816
1.19,0.799,0.75,1.031,0.517,2.606
1.187,0.815,0.737,1.063,0.516,2.672
1.24,0.826,0.781,1.033,0.517,2.701
1.224,0.775,0.85,0.912,0.516,2.638
1.646,0.994,1.389,1.824,0.515,3.001
1.32,0.772,1.098,1.104,0.513,2.62
1.247,0.773,0.922,0.922,0.515,2.657
1.24,0.79,0.86,0.941,0.515,2.683
1.212,0.734,0.928,0.857,0.515,2.571
1.768,1.103,1.458,2.253,0.514,3.13
1.201,0.739,0.867,0.856,0.515,2.566
1.272,0.861,0.798,1.099,0.516,2.763
1.185,0.793,0.73,0.956,0.516,2.638
1.187,0.813,0.762,1.103,0.519,2.634
1.226,0.848,0.777,1.164,0.521,2.717
1.29,0.889,0.83,1.217,0.525,2.805
1.261,0.94,0.83,1.263,0.31,2.885
1.279,0.912,0.859,1.27,0.416,2.814
1.35,0.99,0.896,1.389,0.391,3.033
1.379,1.002,0.927,1.429,0.421,3.044
1.395,1.027,0.903,1.459,0.443,3.113
1.368,1.005,0.905,1.421,0.383,3.045
1.399,1.052,0.919,1.462,0.328,3.169
1.724,1.362,1.103,2.038,0.432,3.939
1.621,1.235,1.035,1.835,0.497,3.623
1.609,1.233,1.046,1.823,0.42,3.62
1.818,1.405,1.155,2.156,0.59,4.111
2.078,1.624,1.33,2.458,0.611,4.812
2.287,1.818,1.474,2.722,0.624,5.426
2.284,1.809,1.498,2.745,0.641,5.386
2.624,2.121,1.728,3.235,0.657,6.282
3.043,2.289,2.156,3.146,0.676,7.034
3.283,2.655,2.12,3.77,0.691,7.962
3.451,2.81,2.219,4.037,0.718,8.385
5.022,4.311,3.248,6.382,0.746,12.57
43.457,40.425,28.506,60.88,2.023,114.757
11.721,10.49,7.581,15.281,0.937,30.153
4.626,3.856,2.947,5.56,0.819,11.284
3.664,2.946,2.31,4.254,0.836,8.618
3.411,2.703,2.198,3.981,0.864,7.935
2.961,2.25,1.873,3.235,0.889,6.572
2.749,2.124,1.749,3.245,0.865,6.095
2.565,1.947,1.633,2.8,0.755,5.874
2.549,1.884,1.647,2.664,0.832,5.753
2.368,1.694,1.547,2.191,0.756,5.481
2.134,1.532,1.441,1.635,0.448,5.217
2.215,1.611,1.499,1.631,0.416,5.563
2.204,1.601,1.507,1.433,0.406,5.676
2.325,1.694,1.629,1.432,0.399,6.071
2.293,1.695,1.654,1.129,0.459,6.302
2.454,1.827,1.795,1.144,0.48,6.82
2.622,1.983,1.944,1.149,0.528,7.416
2.758,2.084,2.116,0.992,0.667,7.903
3.045,2.332,2.355,1.065,0.682,8.816
3.335,2.599,2.651,0.964,0.74,9.831
3.757,2.951,3.017,0.864,0.861,11.167
4.337,3.396,3.499,1.005,0.995,12.863
5.159,4.053,3.969,1.108,1.405,15.403
6.478,5.071,4.817,1.597,2.28,19.386
8.746,6.85,6.609,2.493,2.963,26.137
13.49,10.775,10.259,3.948,3.764,40.713
32.592,26.192,25.772,10.284,6.231,98.016
403.532,334.037,323.367,136.068,27.388,1223.77
