'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:49:00.000 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.004 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.012 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.020 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.028 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.036 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.044 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.052 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.060 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.068 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.076 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.084 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.092 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.100 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.108 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.116 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.124 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
'[17:49:00.132 11/09/2023]',1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11,1.341672E-11
