'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:15:10.232 26/09/2023]',0.20,4.72,0.15,0.17,0.10,0.09,0.15,1.58,0.43,7.84,0.27,0.33,0.25,0.25,0.25,3.20,0.46,9.86,0.47,0.41,0.37,0.32,0.40,6.43,0.94,12.68,0.93,1.11,0.85,1.00,2.14,9.33,1.10,7.99,0.99,1.03,0.98,1.00,2.61,7.84,0
'[11:15:10.289 26/09/2023]',0.19,4.82,0.14,0.16,0.10,0.08,0.15,1.50,0.41,7.75,0.26,0.31,0.24,0.23,0.25,3.09,0.46,9.49,0.47,0.39,0.35,0.31,0.41,6.34,0.94,12.23,0.92,1.08,0.86,0.98,2.22,9.00,1.12,7.92,1.01,1.04,0.99,1.02,2.63,7.86,0
'[11:15:10.387 26/09/2023]',0.18,4.93,0.13,0.15,0.09,0.08,0.15,1.46,0.39,7.64,0.24,0.30,0.23,0.22,0.24,3.01,0.47,9.16,0.47,0.39,0.34,0.32,0.43,6.20,0.95,11.81,0.92,1.06,0.87,0.96,2.29,8.77,1.18,7.81,1.08,1.08,1.03,1.05,2.65,7.87,0
'[11:15:10.482 26/09/2023]',0.18,5.05,0.13,0.14,0.09,0.08,0.14,1.39,0.38,7.51,0.24,0.29,0.22,0.21,0.23,2.94,0.46,8.80,0.47,0.39,0.33,0.32,0.43,6.05,0.93,11.48,0.90,1.04,0.88,0.98,2.35,8.70,1.23,7.70,1.15,1.15,1.10,1.12,2.64,7.89,0
'[11:15:10.577 26/09/2023]',0.17,5.16,0.13,0.14,0.09,0.08,0.14,1.35,0.37,7.41,0.23,0.27,0.22,0.20,0.23,2.83,0.45,8.48,0.46,0.38,0.32,0.32,0.43,5.85,0.92,11.15,0.88,1.01,0.89,1.00,2.39,8.56,1.28,7.62,1.22,1.21,1.17,1.20,2.64,7.92,0
'[11:15:10.669 26/09/2023]',0.16,5.25,0.12,0.13,0.08,0.08,0.14,1.30,0.36,7.31,0.23,0.26,0.22,0.20,0.22,2.76,0.44,8.18,0.46,0.37,0.31,0.31,0.43,5.65,0.89,10.87,0.85,0.99,0.91,1.02,2.39,8.47,1.35,7.48,1.29,1.28,1.24,1.27,2.63,7.89,0
'[11:15:10.793 26/09/2023]',0.16,5.22,0.12,0.13,0.08,0.08,0.14,1.28,0.35,7.08,0.23,0.25,0.22,0.19,0.22,2.71,0.43,8.03,0.45,0.37,0.30,0.30,0.43,5.48,0.86,10.68,0.82,0.98,0.91,1.03,2.36,8.42,1.42,7.36,1.34,1.35,1.31,1.34,2.64,7.89,0
'[11:15:10.909 26/09/2023]',0.16,5.12,0.12,0.12,0.08,0.07,0.14,1.24,0.34,6.78,0.22,0.25,0.22,0.19,0.22,2.70,0.42,7.81,0.44,0.36,0.30,0.29,0.42,5.26,0.86,10.47,0.81,0.97,0.91,1.03,2.31,8.39,1.49,7.27,1.40,1.43,1.37,1.41,2.65,8.01,0
