'Time and date','Fp1.','Fp2.','C3.','C4.','P3.','P4.','O1.','O2.'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV'
'[17:15:00.000 26/09/2023]',-17.37539,14.55662,-11.0071,-12.35327,-13.63198,-12.9736,-26.9636,62.1687
'[17:15:00.004 26/09/2023]',6.877533,-53.83629,9.190431,10.32127,7.621873,11.08248,-1.360978,-55.32651
'[17:15:00.012 26/09/2023]',4.219306,19.16163,5.128107,7.841953,6.732665,6.246945,-5.303286,1.938423
'[17:15:00.020 26/09/2023]',5.615394,-18.77714,6.364752,6.918406,5.582663,7.014645,-14.07935,-49.42151
'[17:15:00.028 26/09/2023]',-2.752015,36.46111,-5.162456,-5.315079,-4.730691,-9.720895,-22.79962,26.77763
'[17:15:00.036 26/09/2023]',-3.509936,-5.252444,-1.571,-3.803988,-1.809582,-1.097239,-19.88649,6.97866
'[17:15:00.044 26/09/2023]',-0.6715347,20.9033,-2.797558,-3.484391,-2.690796,-3.300295,-24.52842,11.63365
'[17:15:00.052 26/09/2023]',0.2534737,0.4487364,2.725795,3.266784,2.198735,0.07924578,-4.105016,23.14565
'[17:15:00.060 26/09/2023]',1.244685,-17.71783,2.581715,0.6268687,0.693912,-0.6494911,4.83471,-34.4205
'[17:15:00.068 26/09/2023]',-1.880962,55.32041,0.376438,2.566277,-2.139384,-6.043961,14.92161,38.28579
'[17:15:00.076 26/09/2023]',-1.244644,-64.43587,-1.132395,-2.94505,-2.72379,-5.541882,5.435581,-53.16726
'[17:15:00.084 26/09/2023]',-9.796976,30.16713,-6.593393,-9.011433,-12.7712,-12.11304,7.718075,26.20846
'[17:15:00.092 26/09/2023]',3.631869,31.78418,9.497916,4.628348,3.273767,8.839059,1.987459,17.92657
'[17:15:00.100 26/09/2023]',4.520718,82.57571,0.007027409,1.513933,4.417492,3.627282,1.795962,22.6712
'[17:15:00.108 26/09/2023]',0.7679815,-16.76828,-0.3737361,-1.738296,-0.4871048,-0.4136718,-3.331829,-34.80338
'[17:15:00.116 26/09/2023]',-7.656568,-89.00249,-5.161952,-6.192208,-1.31824,-0.8929861,-4.005847,-37.88682
'[17:15:00.124 26/09/2023]',-4.383727,-15.95213,0.5097467,-2.919955,1.630975,-0.1526321,-3.095515,17.98466
'[17:15:00.132 26/09/2023]',-1.22291,1.078926,0.5058706,-1.989791,-2.262734,2.567123,5.855031,-15.928
'[17:15:00.140 26/09/2023]',-0.8114021,5.360602,0.157244,0.6278629,1.489224,0.5215192,9.784696,9.20706
