'FFT Bands',Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Theta,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,Gamma,'Event'
'Time and date','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Fp1','Fp2','F3','F7','F4','F8','T7','T8','Event'
'[hh:mm:ss.mmm dd/mm/yyyy]',Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,Amplitude,'Button'
'[11:31:44.227 11/09/2023]',0.14,0.08,2.39,3.44,0.37,0.25,7.97,2.12,0.54,0.16,5.95,7.55,1.28,0.65,14.08,5.83,1.07,0.34,9.90,8.98,1.73,1.00,19.76,7.54,1.13,0.61,4.22,11.50,1.78,1.12,10.55,7.14,0.65,0.49,3.20,7.22,1.59,1.32,7.59,5.39,0
'[11:31:44.446 11/09/2023]',0.14,0.08,2.46,3.50,0.37,0.26,8.06,2.10,0.52,0.15,5.73,7.23,1.25,0.64,14.08,5.73,1.02,0.35,9.80,8.73,1.73,1.00,19.77,7.57,1.09,0.61,4.36,11.40,1.79,1.11,11.21,7.35,0.66,0.50,3.18,7.25,1.58,1.32,7.64,5.48,0
'[11:31:44.543 11/09/2023]',0.13,0.08,2.40,3.46,0.36,0.25,8.00,2.06,0.49,0.15,5.38,7.16,1.20,0.63,14.06,5.60,0.98,0.36,9.57,8.47,1.71,1.00,19.76,7.63,1.06,0.61,4.52,11.30,1.79,1.11,11.69,7.57,0.65,0.50,3.17,7.31,1.57,1.32,7.75,5.54,0
'[11:31:44.600 11/09/2023]',0.12,0.08,2.33,3.43,0.34,0.24,7.79,1.99,0.47,0.15,5.05,7.15,1.17,0.62,13.95,5.43,0.94,0.36,9.32,8.26,1.67,0.99,19.86,7.73,1.04,0.61,4.60,11.21,1.82,1.12,12.08,7.63,0.65,0.50,3.17,7.46,1.55,1.31,7.93,5.50,0
'[11:31:44.665 11/09/2023]',0.12,0.07,2.26,3.34,0.32,0.23,7.58,1.94,0.45,0.14,4.71,6.94,1.14,0.61,13.82,5.28,0.90,0.36,9.05,8.21,1.63,1.00,19.92,7.81,1.01,0.62,4.74,10.97,1.85,1.15,12.44,7.70,0.65,0.49,3.11,7.45,1.52,1.30,8.10,5.48,0
'[11:31:44.722 11/09/2023]',0.12,0.07,2.21,3.22,0.31,0.22,7.39,1.85,0.43,0.14,4.41,6.80,1.12,0.61,13.71,5.20,0.88,0.36,8.77,8.20,1.61,1.01,20.03,7.95,0.99,0.62,4.83,10.72,1.88,1.17,12.70,7.66,0.64,0.48,3.00,7.40,1.47,1.28,8.12,5.45,0
'[11:31:44.776 11/09/2023]',0.11,0.07,2.12,3.03,0.30,0.21,7.13,1.76,0.41,0.15,4.15,6.61,1.09,0.60,13.43,5.15,0.84,0.35,8.71,8.30,1.58,1.02,20.00,8.04,0.96,0.63,4.87,10.44,1.92,1.18,13.00,7.61,0.64,0.48,2.92,7.38,1.43,1.32,8.15,5.41,0
'[11:31:44.834 11/09/2023]',0.11,0.07,2.03,2.84,0.29,0.20,6.91,1.69,0.39,0.15,3.90,6.42,1.05,0.59,13.22,5.15,0.81,0.35,8.80,8.39,1.58,1.02,20.03,8.14,0.93,0.64,4.95,10.33,1.97,1.20,13.38,7.47,0.62,0.47,2.80,7.27,1.49,1.35,8.18,5.36,0
