Time and date,Fp1,Fp2,F3,F4,T7,T8,F7,F8,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Event
[12:38:00.000 29/11/2023],-194317.8,-111203.8,-146441.3,-208000.8,-186054.8,-180871,-202471.3,-158274.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.004 29/11/2023],-194317.1,-111210.4,-146439.7,-208006.2,-186081,-180884.7,-202472,-158273.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.008 29/11/2023],-194317.9,-111218.3,-146422,-207996.7,-186067.9,-180870.5,-202455.4,-158271.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.012 29/11/2023],-194330.8,-111234.6,-146420.9,-208002.5,-186054.1,-180842.3,-202449,-158275.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.016 29/11/2023],-194339.9,-111263.4,-146451.6,-208019.3,-186070.6,-180870.4,-202477.2,-158293.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.020 29/11/2023],-194351.9,-111268.7,-146473.9,-208031,-186085.5,-180896.1,-202499.8,-158308.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.024 29/11/2023],-194359.7,-111265.6,-146481.7,-208039.7,-186100.1,-180910.5,-202499.6,-158312.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.028 29/11/2023],-194320.1,-111235.1,-146455.8,-208019.1,-186075.9,-180868.7,-202462.4,-158286.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.032 29/11/2023],-194321,-111250.1,-146456.8,-208022.7,-186082.2,-180870.9,-202474.6,-158293,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.036 29/11/2023],-194317.8,-111203.8,-146441.3,-208000.8,-186054.8,-180871,-202471.3,-158274.7,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.040 29/11/2023],-194317.1,-111210.4,-146439.7,-208006.2,-186081,-180884.7,-202472,-158273.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.044 29/11/2023],-194317.9,-111218.3,-146422,-207996.7,-186067.9,-180870.5,-202455.4,-158271.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.048 29/11/2023],-194330.8,-111234.6,-146420.9,-208002.5,-186054.1,-180842.3,-202449,-158275.3,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.052 29/11/2023],-194339.9,-111263.4,-146451.6,-208019.3,-186070.6,-180870.4,-202477.2,-158293.5,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.056 29/11/2023],-194351.9,-111268.7,-146473.9,-208031,-186085.5,-180896.1,-202499.8,-158308.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.060 29/11/2023],-194359.7,-111265.6,-146481.7,-208039.7,-186100.1,-180910.5,-202499.6,-158312.8,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.064 29/11/2023],-194320.1,-111235.1,-146455.8,-208019.1,-186075.9,-180868.7,-202462.4,-158286.1,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.068 29/11/2023],-194321,-111250.1,-146456.8,-208022.7,-186082.2,-180870.9,-202474.6,-158293,0.03,0.00,1.02,-4,-2,-4,89,0
[12:38:00.072 29/11/2023],-194355.4,-111257.5,-146467.1,-208022.6,-186092.3,-180882.3,-202498.7,-158308.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.076 29/11/2023],-194344.8,-111224.6,-146442.8,-208002.5,-186070.6,-180858.2,-202472.5,-158274.2,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.080 29/11/2023],-194316.2,-111218.5,-146425.6,-207992.7,-186066.6,-180857.8,-202455.2,-158262.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.084 29/11/2023],-194319.7,-111228.5,-146422.8,-207997.8,-186053.1,-180870.1,-202463.6,-158270.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.088 29/11/2023],-194326.5,-111228.3,-146436.4,-208000.5,-186048.5,-180859.1,-202473.9,-158274,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.092 29/11/2023],-194333.6,-111219.3,-146445.8,-207999.1,-186059.6,-180837.8,-202478.8,-158274.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.096 29/11/2023],-194328.6,-111219.5,-146440.2,-207999.6,-186065.5,-180832.8,-202472.8,-158267,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.100 29/11/2023],-194349.1,-111237.7,-146469.9,-208025.5,-186090.8,-180868.7,-202494.1,-158289.5,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.104 29/11/2023],-194352.9,-111249.7,-146486.4,-208045.4,-186108.2,-180890.1,-202505.1,-158302.8,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.108 29/11/2023],-194344.3,-111247.8,-146475.5,-208028,-186105.8,-180876.8,-202491.7,-158295.9,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.112 29/11/2023],-194368.2,-111264.7,-146485.5,-208034.8,-186124.1,-180894.9,-202506.3,-158314.6,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.116 29/11/2023],-194375.3,-111277.9,-146488,-208046.1,-186130.1,-180891.8,-202518.6,-158321.2,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.120 29/11/2023],-194367.5,-111275.8,-146495.8,-208048.5,-186131,-180894.5,-202520.5,-158319.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.124 29/11/2023],-194346.5,-111259.9,-146477.7,-208037.8,-186101.2,-180897.5,-202505.4,-158305.4,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.128 29/11/2023],-194336.9,-111236.6,-146457.8,-208025.6,-186082.7,-180880.1,-202484,-158285.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.132 29/11/2023],-194333.3,-111221,-146446.3,-208015.9,-186058.1,-180862.2,-202479.6,-158277.9,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.136 29/11/2023],-194345.3,-111239.5,-146467.4,-208026.7,-186061.3,-180871.6,-202499.8,-158296.1,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.140 29/11/2023],-194336.7,-111242.9,-146471.4,-208029,-186076.3,-180886.3,-202496.5,-158298.2,0.05,0.00,1.02,-4,-2,-4,89,0
[12:38:00.144 29/11/2023],-194341,-111225.5,-146450.1,-208011.7,-186083.6,-180867,-202475,-158274,0.03,-0.02,1.00,-4,-2,-4,89,0
[12:38:00.148 29/11/2023],-194334.7,-111210.2,-146437.5,-207991.9,-186079.5,-180830.4,-202455.7,-158252.6,0.03,-0.02,1.00,-4,-2,-4,89,0
